,track_id,singer,song_name,duration
73,49wZPjRR4RbW09m3yNOVzq,Matt Van,love/hate,166027
74,2vzWylXWogTG11HR0frews,Anson Seabra,I Can't Carry This Anymore,200000
75,5heMraZsTO2tPCsdeoKCXE,Jimmy Levy,Shadow,283112
76,3AyUH2Oer2D4aFMcfIdWuJ,Billy Raffoul,Hell or High Water - From Days Gone,214850
77,7gY3cyGcB2wnk2xDXiA0pe,Avril Lavigne,Head Above Water,220850
78,5Os0ngycjWDGDmIM6jWDN5,TAVIA,Solstice,247692
79,2YdRHgjajslnkmygNxuLVW,Rosie Carney,Humans,265407
80,5sVyefkGgQeYCgnqr4KslQ,Joy Williams,Front Porch,231813
81,5Gi9PNrnsQHCnI5EYelkIG,Ulrik Munther,Are You Alright?,280000
82,57MUBmB0IhftnHLtlQK9JP,Dermot Kennedy,Lost,224305
83,2BkyYZmU4JuWW2sYi9EzpC,Dean Lewis,7 Minutes,211453
84,33C5msfiMeXgIwdxbJz22u,Sara Phillips,Six Feet Under,222090
85,3jq9yDWO3QWrYGogN9kf2a,Alyssa Wettlaufer,Bleeding Out,250112
86,1ykZSHabGHpaX7MQ1oJwZ2,Liz Bissonette,Grieving,233848
87,4qMu6LIImRJVbxB70bdFJj,Etham,Opposite Of Loving Me - Stripped,211760
88,6jApoxmm4K0yhJlSBONwjz,Grace Carter,Waiting Room - Demo,193014
89,60wa5J6SkXtBXHySQ3PoNB,Michael Schulte,The Love You Left Behind,194546
90,7BYUTJQigmlcgbT7Uo1LQf,Janet Devlin,I Lied to You,176072
91,4at01lnsvYBraghirWeCjm,Benjamin Francis Leftwich,Sometimes,234367
92,76vWvM44jeCgBKryBaLcqe,Sody,Let You Know,190072
93,4ptDJbJl35d7gQfeNteBwp,Dan Berk,Solo,198712
94,6AvcWp4oTkqj4ZLqf3zxPh,Sofia Karlberg,Lonely Together,187794
95,58FAvkrXMmpORoQZdxRELa,Reggii,1-800-273-8255,273064
96,6GDsT1ZjYeqJgrBIXSaXRG,Maygen Lacey,XO TOUR Llif3,171473
97,1z1mMZtZW0gvR9FSPc7JpJ,Elina,Champion,173237
98,60wxK3idlzc3lykP8cYZ2l,Gabrielle Aplin,My Mistake,265386
99,7iPlcFvOMOzt6v0QvcAueZ,The 1975,I Always Wanna Die (Sometimes),314662
