,track_id,singer,song_name,duration
74,72UycaVaeALTUfRyR74RBf,David Sato,Prologue Marlene,146857
75,7JVjcxfs9CG6Ozlmibdrkl,Stephan Moccio,Whitby,195240
76,5wFGu1dl3Lw08doFu0gVmA,Allysium,Synchronicity,189250
77,0kvEiW0fbL26tJwHXaZDPh,Antoine Minot,Le Castellet,237924
78,3JRe26tZFIC2y3suUKrJiu,Doeke,Vogeltrek,134660
79,2raTq4pOKZfeg2h61gnI0L,Zdenek Lemelin,Des ponts plutôt que des murs,148000
80,1g0Zj4GZ229O647Tt3RPJ2,Olim,Time,124655
81,5bAeFY9aWmcu0PKqDfUNgc,Edvard Kravchuk,Moment of Silence,213066
82,4vO8oT2rdWcCzHYTEcoJGl,Novum Cordis,Love Will Set Us Free,145313
83,0OmfHQzJRIhMCxFWsoDRAo,Jon Hendrickson,Vestrahorn,146069
84,0kI6c7wGZ5h3njJ5wF4nMw,Jef Martens,When She Flows,130125
85,4bn5nDWccvgalkZGVzth00,S.A. Karl,Aldebaran,198000
86,0tR800fZrSvw5pZc0j8Y3X,Megan Wofford,An Elevation,173583
87,7aw2vM9GkttgVrbao29wju,Cory Mickens,United,123500
88,14rLUUlDJTGPO0IOvAviss,Hideyuki Hashimoto,Maru,167978
89,5NI4ztzijs8sqoxlhqNleo,Lucas Vendrai,Lacrimosa,118928
90,2aHrpaoVDrROYXzAVf3Rue,Taylor Driskell,Stretch of Clouds,180774
91,0BXq9t3wTA8HMqFPvGxZYf,Cedric Armfeldt,Sweet Redolence,114400
92,1YrmdTAZdNa2uzxKttTXq6,Dravde,Dream Until the First Rays of Dawn,155665
93,1tbNThROtPQ6HdOmGFlUaQ,Ivan Vladusic,Revelation,253500
94,4iUW2jCsr1jofP9GQGuXPh,Céline Aubin,Mère bien-aimée,136250
95,7IOhTZyPfyCPhO041cdiDv,Francesco Tulman,Forgiveness,127013
96,6kWVRQKxzpOj8r06pps6O3,Jef Martens,Watching Over You,138125
97,6FDLRVWrSK9eHkg1sMF8Hl,Monty Reiss,Satin Night,140666
98,1QQUFiArleFKStW1ttUfoN,Geir Gudmundson,Just Us,215000
99,6H08IWL5fcTkVyNjNCH2GM,Adam Fincher,Vancouver,211628
